Authors,Title,Year,Issue,Page start,Page end,Abstract,Affiliations,ISBN,DOI,Link,EID,Publisher,Cited by,Source title,Source
A. J. Magana; P. Marepalli; J. V. Clark,Work in progress — Integrating computational and engineering thinking through online design and simulation of multidisciplinary systems,2011,Null,S3C-1,S3C-2,"Computation is an increasingly essential tool for doing scientific research. It is expected that future engineers will need to engage and understand computing in order to work effectively with computational systems, technologies, and methodologies. Toward this goal, we leverage our previous work with SugarAid v0.2 to allow learners to test their knowledge of computing by applying engineering concepts. Applied concepts include designing multidisciplinary systems including electrical, mechanical, fluidic, and thermal components. Through this method, we expect learners to enhance their computing knowledge by applying their engineering knowledge.","Purdue University, USA; Purdue University, USA; Purdue University, USA",978-1-61284-469-5,10.1109/FIE.2011.6143083,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6143083,IEEE Conferences,IEEE,0,2011 Frontiers in Education Conference (FIE),IEEE Xplore
A. J. Magana; J. I. Mathur,"Motivation, Awareness, and Perceptions of Computational Science",2012,1.0,74,79,"To meet the urgent need for a well-prepared CS&E workforce, we must better understand how students perceive the field.","Department of Computer and Information Technology, Purdue University, USA; Computational Science and Engineering and Computational Life Sciences, Purdue University, USA",Null,10.1109/MCSE.2012.13,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6129960,IEEE Magazines,IEEE,12,Computing in Science & Engineering,IEEE Xplore
A. Gomez De Silva Garza; E. Cambria; R. Perez y Perez,Commonsense Knowledge as the Glue in a Hybrid Model of Computational Creativity,2014,Null,360,364,"In this paper, we describe on-going work on the ensemble of two models for computational creativity using commonsense knowledge. The GENCAD model of computational creativity proposes the use of an evolutionary algorithm (EA) that employs a population of exemplars as a starting point for its search, unlike traditional EAs, which employ a randomly-generated initial population. The EA, operating on this population, is then used to generate new potentially creative solutions. GENCAD has been instantiated in the domains of structural design of tall buildings and feng shui-compliant residential floor-plan design. The MEXICA model of computational creativity also begins with a set of exemplars as a starting point, but it analyzes these exemplars based on a domain theory. The generalized model that is obtained from analyzing the set of exemplars is then used to guide the generation of new solutions. MEXICA has been instantiated in the domain of plot generation for stories involving themes, characters and locations from the Mexica culture of ancient Mexico. In the hybrid model, we combine the two original models to generate plots for stories of the same sort that MEXICA generates, but using GENCAD's process model to do so. To confirm that the generated plots make sense, the hybrid model integrates commonsense knowledge into its evaluation module.","Comput. Eng. Dept., Instituto Tecnologico Autonomo de Mexico, Alvaro Obregon, Distrito Federal, MX; School of Computer Engineering, Nanyang Technological University (NTU), Singapore; Dept. de Tecnol. de la Informacion, Universidad Autonoma Metropolitana, Tlalpan, MX",978-1-4799-4274-9,10.1109/ICDMW.2014.178,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7022619,IEEE Conferences,IEEE,0,2014 IEEE International Conference on Data Mining Workshop,IEEE Xplore
A. P. Ambrósio; C. Xavier; F. Georges,Digital ink for cognitive assessment of computational thinking,2014,Null,1,7,"Cognitive testing is concerned with quantitative and qualitative evaluation of an individual's intellectual functioning in its broad sense. Tests for evaluating cognitive components are based on submitting the subject to a given task and then assessing performance according to an established set of reference parameters. In order to analyze subject's behavior and test results, a software tool was developed based upon digital ink technology, which permits the digitalization of the assessment procedure, from the undertaking of the test to the production of the assessment results. By doing so, the test procedure is computerized and its data is saved in InkML format and processed to analyze tasks previously defined by the evaluator. We have used this tool to develop a Computational Thinking test defined within the Cattell-Horn-Carroll CHC framework of intelligence. Further investigating the relationship between fluid intelligence and computational thinking allows a better understanding of the main set of cognitive skills which need to be developed by students and professionals that aim to work in this domain. Moreover, it is suggested that assessments, independent of their context, may benefit from using the InkML tool, mainly due to the richer set of information that can be collected.","Institute of Informatics, Federal University of Goias, Goiania, GO, Brazil; Institute of Informatics, Federal University of Goias, Goiania, GO, Brazil; University Salgado de Oliveira, Goiania, GO, Brazil",978-1-4799-3922-0,10.1109/FIE.2014.7044237,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7044237,IEEE Conferences,IEEE,20,2014 IEEE Frontiers in Education Conference (FIE) Proceedings,IEEE Xplore
A. Repenning; D. C. Webb; C. Brand; F. Gluck; R. Grover; S. Miller; H. Nickerson; M. Song,Beyond Minecraft: Facilitating Computational Thinking through Modeling and Programming in 3D,2014,3.0,68,71,"Visual programming in 3D sounds much more appealing than programming in 2D, but what are its benefits? Here, University of Colorado Boulder educators discuss the differences between 2D and 3D regarding three concepts connecting computer graphics to computer science education: ownership, spatial thinking, and syntonicity.",University of Colorado Boulder; University of Colorado Boulder; University of Colorado Boulder; University of Colorado Boulder; University of Colorado Boulder; University of Colorado Boulder; University of Colorado Boulder; University of Colorado Boulder,Null,10.1109/MCG.2014.46,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6813968,IEEE Magazines,IEEE,29,IEEE Computer Graphics and Applications,IEEE Xplore
A. Bauer; E. Butler; Z. Popović,Approaches for teaching computational thinking strategies in an educational game: A position paper,2015,Null,121,123,"Computer science is expanding into K12 education and numerous educational games and systems have been created to teach programming skills, including many block-based programming environments. Teaching computational thinking has received particular attention, and more research is needed on using educational games to directly teach computational thinking skills. We propose to investigate this using Dragon Architect, an educational block-based programming game we are developing. Specifically, we wish to study ways of directly teaching computational thinking strategies such as divide and conquer in an educational game, as well as ways to evaluate our approaches.","Center for Game Science, University of Washington, Seattle, WA; Center for Game Science, University of Washington, Seattle, WA; Center for Game Science, University of Washington, Seattle, WA",978-1-4673-8367-7,10.1109/BLOCKS.2015.7369019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7369019,IEEE Conferences,IEEE,7,2015 IEEE Blocks and Beyond Workshop (Blocks and Beyond),IEEE Xplore
A. Mohan; S. Lu; K. Zhang,Towards an Online Service for Learning Computational Thinking Using Scientific Workflows,2015,Null,340,347,"Computational thinking has recently been widely recognized as a fundamental skill that should be cultivated for everyone and in every field. Although there is an increasing interest in research in teaching and learning computational thinking in recent years, an engaging, effective online learning system is yet to be built for teaching, learning, and applying computational thinking online. To this end, we have developed DATAVIEW, an online social learning system for learning computational thinking concepts and skills online. The main contributions of this paper are: 1) we developed a new, effective online learning model for computational thinking based on our previous widely-applied R2D2 model. A signature characteristic of this new model is being interactive and learner-centered, thus ""i"" is carried out through the entire learning experiences, which provides teaching facilities to instructors and interactional tools among instructors and learners, 2) we implemented, validated, and refined iR2D2 in our DATAVIEW computational thinking online service, 3) We propose to use the DBR (design-based-research) approach to study the relationship between technology and teaching in the context of computational thinking, generating research results and findings applicable to online teaching in other domains as well.","Wayne State University, Detroit, MI, USA; Wayne State University, Detroit, MI, USA; Wayne State University, Detroit, MI, USA",978-1-4673-7281-7,10.1109/SCC.2015.54,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7207372,IEEE Conferences,IEEE,3,2015 IEEE International Conference on Services Computing,IEEE Xplore
A. L. S. O. de Araujo; W. L. Andrade; D. D. Serey Guerrero,A systematic mapping study on assessing computational thinking abilities,2016,Null,1,9,"Several initiatives have been created to promote Computational Thinking (CT) abilities in students. There are multiple approaches of assessing CT and wide abilities and skills involved. However, the evidence on how to assess CT has not yet been systematically grouped or reviewed. The goal of our study is to identify and classify approaches to promote CT and the different ways of assessing CT abilities. To achieve this goal, a systematic mapping study was planned and executed. The results reveal that: (i) programming courses are the most common pedagogical approaches to promote CT for K-12 students; (ii) multiple skills are involved in CT, but solving problems, algorithms, and abstraction are most common abilities assessed; and (iii) codes and multi-choice questionnaires are the most common artifacts for assessing CT abilities. This study points out to the fact that there are open questions for exploring and developing new researches for promoting and assessing CT abilities.","Departament of Exact Sciences, Federal University of Paraíba, Paraíba, Brazil; Software Practices Laboratory, Federal University, Campina Grande, Paraíba, Brazil; Software Practices Laboratory, Federal University, Campina Grande, Paraíba, Brazil",978-1-5090-1790-4,10.1109/FIE.2016.7757678,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7757678,IEEE Conferences,IEEE,30,2016 IEEE Frontiers in Education Conference (FIE),IEEE Xplore
A. Repenning; A. Basawapatna; N. Escherle,Computational thinking tools,2016,Null,218,222,"Computational Thinking is an essential skill for all students in the 21st Century. A fundamental question is how can we create computer affordances to empower novice teachers and students, in a variety of STEM and art disciplines, to think computationally while avoiding difficult overhead emerging from traditional coding? Over the last 20 years we have iteratively developed tools that aim to support computational thinking. As these tools evolved a philosophy emerged to support Computational Thinking by joining human abilities with computer affordances. Chief among these findings is that supporting Computational Thinking is much more than making coding accessible. Computational Thinking Tools aim to minimize coding overhead by supporting users through three fundamental stages of the Computational Thinking development cycle: problem formulation, solution expression, and solution execution/evaluation.","University of Colorado, Boulder, Colorado, USA; Dept. of Math and Computer Information Systems, State University of New York College at Old Westbury, Old Westbury, NY; School of Education, FHNW, Brugg-Windisch, Switzerland",978-1-5090-0252-8,10.1109/VLHCC.2016.7739688,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7739688,IEEE Conferences,IEEE,27,2016 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),IEEE Xplore
A. Jung; J. Park; A. Ahn; M. Yun,CS for ALL: Introducing Computational Thinking with Hands-On Experience in College,2017,Null,1073,1078,"CS for ALL is a new education initiative launched in 2016 to empower a generation of American students with the computer science skills they need to thrive in a digital economy. In order to keep up with trends in the growing technology-driven world, students should have the ability to analyze and consider the consequences of computing problems critically. However, introducing CS and computational thinking skills to the first year students in college is a difficult task because the nature of the subject tends to be dry and conceptual. Thus, we introduce a computer science course that helps all undergraduate students to prepare for digital life as well as enhance their critical thinking skills through hands-on learning experiences. The course contents introduce the general concept of computer science such as computing system, basic networking, algorithms and programming with Scratch and mBot robot exercises. Our student feedback shows a high level of enthusiasm and engagement among the students. The strong hands-on learning nature of the course helped our students to have more engaging and interactive classroom experiences.","Department of Computer Science, Framingham State University, Framingham, MA; Department of STEM Education & Teacher Development, University of Massachusetts Dartmouth, Dartmouth, MA; E-Service IR LLC, Tempe, AZ; Department of Computer Science and Networking, Wentworth Institute of Technology, Boston, MA",978-1-5386-2652-8,10.1109/CSCI.2017.187,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8560947,IEEE Conferences,IEEE,0,2017 International Conference on Computational Science and Computational Intelligence (CSCI),IEEE Xplore
